names	rpkm
AT1G79580	1.24614137230747e-14
AT1G16430	7.03503447457215e-12
AT4G20760	2.83519305225974e-12
AT1G65910	5.35056747914757e-13
AT5G14540	1.10668618909048e-11
AT3G27610	1.48466908498501e-12
AT1G15670	7.5898703583099e-13
AT2G34500	1.93918256332338e-13
AT3G32373	2.21745091321732e-14
AT3G62710	2.41828197083866e-13
AT2G01720	2.86185603867111e-11
AT3G05130	1.04644695756588e-11
AT1G20460	1.69641644553988e-12
AT3G03060	4.2165946435055e-12
AT4G02540	4.3065873691156e-12
AT1G71050	3.03453673089099e-13
AT2G31141	2.15422062975132e-12
AT3G48020	4.54419974112121e-14
AT1G11595	1.01861555994796e-13
AT5G17530	3.87546455008337e-12
AT1G55820	4.13280491943818e-12
AT1G31480	2.19363231275385e-12
AT4G36090	3.11791559059958e-13
AT2G38570	1.4524892244902e-12
AT3G13845	4.48821213249643e-12
AT5G03415	4.12444925257394e-12
AT2G34185	2.56922062286469e-13
AT4G38062	6.7384736620925e-12
AT1G56150	1.78854322733155e-13
AT5G62520	5.68971772374802e-12
AT4G09467	2.82943708350237e-11
AT2G05420	2.34255257972528e-14
AT5G07020	4.2012766266366e-12
AT5G50340	2.41891653273024e-12
AT5G28900	8.12098482759751e-12
AT5G16970	1.40726102347377e-12
AT2G44630	1.22837704222941e-12
AT3G60370	2.06536626741867e-12
AT1G14530	2.81959037911954e-12
AT4G31140	5.99435305669933e-12
AT5G62990	1.59415795555913e-12
AT4G09240	2.48034979029735e-13
AT2G21470	9.72744061888432e-12
AT1G31600	3.54515347492078e-12
AT1G08513	1.25766637921898e-12
AT3G13940	1.06102014844357e-11
AT2G23300	7.63785549697538e-12
AT1G62260	1.83586545953976e-12
AT1G01110	4.71519484344875e-12
AT1G27510	4.64038994625185e-12
AT3G56180	2.21306885387124e-13
AT5G03160	1.62002065208764e-11
AT1G15820	7.05051497295092e-11
AT3G13250	3.06726275611311e-14
AT4G30900	1.514397188767e-12
AT3G59910	9.79476701265176e-12
AT1G30300	3.90094464964437e-12
AT5G18525	3.04492164702479e-12
AT4G05650	9.3702103189011e-14
AT5G02502	1.06116152354663e-11
AT2G20530	2.54192780113998e-11
AT3G09800	2.04053421279417e-12
AT2G25840	2.37610496414614e-12
AT1G09537	6.56338713740222e-13
AT2G02970	8.02291910713e-12
AT1G28770	2.55371224888361e-12
AT4G08920	8.66214676226244e-12
AT1G64860	3.10599003084688e-12
AT1G69818	2.81106309567033e-13
AT1G03790	1.33002402778965e-12
AT4G28430	7.95733534605113e-13
